Geocoordinates,ZipCode,Neighborhood
"40.739323,-74.008119",10014,West Village
"40.796153499999996,-73.94782145",10029,East Harlem
"40.73704984,-73.99009296",10003,Union Square
"40.72307749068673,-73.98583620786667",10009,Ukrainian Village
"40.787801,-73.953559",10029,East Harlem
"40.740343200000005,-73.98955109",10010,Flatiron District
"40.728846000000004,-74.00859100000001",10014,Hudson Square
"40.76471851944339,-73.96222069859505",10065,Lenox Hill
"40.7667405590595,-73.9790689945221",10019,Midtown Manhattan
"40.73143724085228,-73.99490341544151",10003,Greenwich Village
"40.69128258,-73.9452416",11221,Bedford-Stuyvesant
"40.735367055605394,-73.98797392845155",10003,Union Square
"40.78172120000001,-73.94594000000001",10128,Yorkville
"40.746646999999996,-73.993915",10001,Chelsea
"40.71602118,-73.99974372",10013,Chinatown
"40.76227205,-73.98788205",10019,Hell's Kitchen
"40.764397100000004,-73.97371465",10019,Midtown Manhattan
"40.72706363348306,-73.99662137031554",10012,Greenwich Village
"40.7671863,-73.9373554",11106,Astoria
"40.71559509,-73.9870295",10002,Lower East Side
"40.71413089,-73.99704679999999",10002,Chinatown
"40.709340000000005,-73.95608",11211,Southside
"40.75038009,-73.98338988",10018,Midtown South
"40.68382604,-73.97632328",11217,Fort Greene
"40.710451,-73.960876",11211,South Williamsburg
"40.686744299999994,-73.99063168",11201,Boerum Hill
"40.736502,-73.97809472",10010,Peter Cooper Village
"40.72019521437465,-74.0103006362915",10013,Tribeca
"40.6851443,-73.95380904",11216,Bedford-Stuyvesant
"40.71286844,-73.95698119",11211,Williamsburg
"40.742753828659026,-74.00747358798982",10011,Chelsea
"40.768254,-73.988639",10019,Hell's Kitchen
"40.76030096,-73.99884222",10036,Hell's Kitchen
"40.771496710544405,-73.99046033620834",10019,Lincoln Square
"40.74475148,-73.99915362",10011,Chelsea
"40.72521311,-73.97768752",10009,Alphabet City
"40.711512,-74.01575600000001",10006,Battery Park City
"40.70684203101325,-73.9544353965357",11211,South Williamsburg
"40.70538,-73.92535",11237,Bushwick
"40.668132,-73.97363831",11215,Park Slope
"40.71146364,-74.00552427",10038,Financial District
"40.8021174,-73.9681805305",10025,Bloomingdale
"40.75929124,-73.98859651",10036,Hell's Kitchen
"40.75898481399634,-73.99379968643187",10036,Hell's Kitchen
"40.70411791,-73.94818595",11206,Broadway Triangle
"40.69089272,-73.99612349",11201,Brooklyn Heights
"40.689888,-73.981013",11201,Fort Greene
"40.73172428,-74.00674436",10014,West Village
"40.72079821,-73.95484712",11222,Williamsburg
"40.73038599,-74.00214988",10014,South Village
"40.73020660529954,-73.99102628231049",10003,Lower Manhattan
"40.7839636,-73.94716729999999",10128,Yorkville
"40.74734825,-73.99723551",10001,Chelsea
"40.757186,-73.93271899999999",11101,Dutch Kills
"40.76309387270797,-73.97835016250609",10105,Midtown West
"40.77515953434235,-73.98918695747851",10023,Lincoln Square
"40.6767,-73.969024",11238,Prospect Heights
"40.72210378668603,-73.99724900722505",10012,Nolita
"40.73291553,-74.00711384",10014,West Village
"40.78524672,-73.97667321",10024,Upper West Side
"40.7892529,-73.93956237",10029,East Harlem
"40.8109494,-73.9634",10115,Morningside Heights
"40.76019252,-73.9912551",10036,Midtown South
"40.73381219196632,-73.9805442094803",10009,Stuyvesant Town-Peter Cooper Village
"40.76440023,-73.96648977",10065,Lenox Hill
"40.73226398,-73.99852205",10011,Greenwich Village
"40.808442,-73.94520870000001",10027,Central Harlem
"40.7451677,-73.98683077",10016,NoMad
"40.72710258,-74.00297088",10014,SoHo
"40.75466591,-73.99138152",10018,Garment District
"40.7734066,-73.97782542",10023,Central Park West Historic District
"40.71850211,-73.98329859",10002,Lower East Side
"40.7172274,-73.98802084",10002,Lower East Side
"40.71870987,-74.0090009",10013,Tribeca
"40.792255299999994,-73.95249933",10029,East Harlem
"40.76228826,-73.98336183",10019,Theater District
"40.72248188638219,-73.95921930670737",11249,Williamsburg
"40.789210499999996,-73.94370784",10029,East Harlem
"40.77896784,-73.97374737",10023,Central Park West Historic District
"40.7423737,-73.9566",11101,Hunters Point
"40.720746999999996,-73.986274",10002,Lower East Side
"40.74102150900266,-74.001384973526",10011,Chelsea
"40.735238,-74.000271",10011,West Village
"40.71485150526252,-74.01122331619263",10007,Tribeca
"40.68900443,-73.96023854",11205,Clinton Hill
"40.76360467795863,-73.98917958140373",10019,Hell's Kitchen
"40.714215,-73.981346",10002,Lower East Side
"40.751872999999996,-73.97770600000001",10168,Murray Hill
"40.74238787,-73.99726235",10011,Chelsea
"40.73535398,-74.00483091",10014,West Village
"40.75892386377695,-73.96226227283478",10022,Sutton Place
"40.74487634,-73.99529885",10011,Chelsea
"40.676368,-73.95291800000001",11216,Crown Heights
"40.70905623,-74.01043382",10005,Financial District
"40.76068327096592,-73.98452728986742",10019,Theater District
"40.791270000000004,-73.964839",10025,Central Park West Historic District
"40.7568001,-73.98291153",10036,Midtown South
"40.74691959,-74.00451887",10011,Chelsea
"40.700469,-73.991454",11201,Brooklyn Heights
"40.72019576,-73.98997825",10002,Lower East Side
"40.668662700000006,-73.97988067",11215,Park Slope
"40.69512845,-73.99595065",11201,Brooklyn Heights
"40.70355377,-74.00670227",10005,Financial District
"40.68981035,-73.97493121",11201,Fort Greene
"40.72317958,-73.99480012",10012,Nolita
"40.6794388,-73.96804379999999",11238,Prospect Heights
"40.7531106,-73.9279917",11101,Dutch Kills
"40.747573958954796,-73.97880077362059",10016,Murray Hill
"40.75594159,-74.0021163",10001,Hudson Yards
"40.72453734,-73.98185424",10009,Alphabet City
"40.7747878,-73.91255509999999",11105,Ditmars Steinway
"40.72405549,-74.00965965",10013,Tribeca
"40.71754834,-74.01322069",10282,Battery Park City
"40.70767788,-73.94016171",11206,Southside
"40.682368700000005,-73.944118",11216,Bedford-Stuyvesant
"40.75186951421875,-73.93349289894103",11101,Dutch Kills
"40.75756989999999,-73.99098507",10036,Garment District
"40.72621788,-73.98379855",10009,Ukrainian Village
"40.70029511,-73.95032283",11206,South Williamsburg
"40.69196035,-73.96536851",11205,Clinton Hill
"40.74937024193277,-73.99923384189607",10001,Chelsea
"40.779668090073116,-73.98093044757842",10023,Upper West Side
"40.79904139288298,-73.96649479866028",10025,Manhattan Valley
"40.76669671,-73.99061728",10019,Hell's Kitchen
"40.7806284,-73.9521667",10128,Yorkville
"40.75323098,-73.97032517",10017,Midtown East
"40.74731,-73.95451",11101,Hunters Point
"40.735445,-73.99431",10011,Greenwich Village
"40.74173969,-73.99415556",10011,Chelsea
"40.7633589,-73.92864709999999",11106,Astoria
"40.694546087246025,-73.95801365375519",11205,Bedford-Stuyvesant
"40.799139000000004,-73.9389152",10035,East Harlem
"40.686203000000006,-73.944694",11216,Bedford-Stuyvesant
"40.78245417527987,-73.94891962409021",10128,Yorkville
"40.75001986,-73.96905301",10017,Midtown East
"40.678724200000005,-73.99599099",11231,Carroll Gardens
"40.69237074,-73.93705428",11221,Bedford-Stuyvesant
"40.718821999999996,-73.99596",10013,Chinatown
"40.68753406,-73.97265183",11205,Fort Greene
"40.72740794,-73.98142006",10009,Alphabet City
"40.77112927,-73.95772297",10021,Lenox Hill
"40.71167351,-73.95141312",11211,Williamsburg
"40.75022392,-73.97121414",10017,Tudor City
"40.70955958,-74.00653609",10038,Financial District
"40.75325964,-73.94335788",11101,Queensbridge Houses
"40.766368,-73.971518",10019,Lenox Hill
"40.69239502,-73.99337909",11201,Brooklyn Heights
"40.75255434,-73.97282625",10017,Midtown East
"40.6763947,-73.99869893",11231,Carroll Gardens
"40.8045555,-73.93968609999999",10035,East Harlem
"40.675020700000005,-73.97111473",11238,Park Slope
"40.68851534,-73.9647628",11205,Clinton Hill
"40.7668,-73.93477740000002",11106,Astoria
"40.76095756,-73.96724467",10155,Midtown East
"40.72368361,-73.97574813",10009,East Village
"40.75513557,-73.98658032",10036,Theater District
"40.8082,-73.9641",10027,Morningside Heights
"40.76727216,-73.99392888",10019,Hell's Kitchen
"40.672815500000006,-73.98352355",11215,Park Slope
"40.711863,-73.944024",11211,Williamsburg
"40.76500525,-73.95818491",10065,Lenox Hill
"40.7435337324616,-74.00367558002472",10011,Chelsea
"40.77748046,-73.98288594",10023,Lincoln Square
"40.809725,-73.953149",10027,South Harlem
"40.73971301,-73.99456405",10011,Midtown Manhattan
"40.6809833854,-73.9500479759",11216,Bedford-Stuyvesant
"40.72708584,-73.95299117",11222,Greenpoint
"40.70583339,-73.94644578",11206,Southside
"40.7835016,-73.955327",10128,Carnegie Hill
"40.72502876,-73.99069656",10003,Bowery
"40.763025942805186,-73.97209525108337",10022,Midtown East
"40.77862688,-73.95772073",10028,Upper East Side
"40.72082834,-73.97793172",10009,East Village
"40.7047177,-74.00926027",10004,Financial District
"40.778301,-73.9488134",10128,Yorkville
"40.73314259,-73.97573881",10009,Stuyvesant Town-Peter Cooper Village
"40.77579376683666,-73.97620573639871",10023,Central Park West Historic District
"40.6685455,-73.99333264",11215,Gowanus
"40.761227399999996,-73.96094022",10065,Lenox Hill
"40.70538077,-73.94976519",11206,Southside
"40.6691783,-73.9554162",11225,Crown Heights
"40.784596798848916,-73.94968539476396",10128,Yorkville
"40.72228087,-73.97668709",10009,East Village
"40.74144387,-73.97536082",10016,Kips Bay
"40.722055,-73.989111",10002,Lower East Side
"40.754691750226016,-73.9974018931389",10001,Hell's Kitchen
"40.72243797,-74.00566443",10013,Hudson Square
"40.781122299341654,-73.94965589046478",10128,Yorkville
"40.7671,-73.9169858",11103,Astoria
"40.69681963,-73.93756926",11206,Bedford-Stuyvesant
"40.7614376,-73.9411265",11106,Dutch Kills
"40.677027,-73.9865",11215,Gowanus
"40.763154819103725,-73.93985509872438",11106,Astoria
"40.76274420000001,-73.9391141",11106,Astoria
"40.701907,-74.013942",10004,Financial District
"40.6686273,-73.98700053",11215,Park Slope
"40.76269882,-73.99301222",10036,Hell's Kitchen
"40.8114323,-73.95187759999999",10027,West Harlem
"40.76129389728909,-73.916916847229",11103,Astoria
"40.774645,-73.92370600000001",11102,Astoria
"40.698617,-73.941342",11206,Bedford-Stuyvesant
"40.69531727766904,-73.99015724658966",11201,Downtown Brooklyn
"40.7687620293096,-73.95840793848038",10021,Lenox Hill
"40.7869946,-73.94164802",10029,East Harlem
"40.68097410000001,-73.97100970000001",11238,Prospect Heights
"40.679043,-74.011169",11231,Red Hook
"40.69580705,-73.97355569",11205,Fort Greene
"40.6859296,-74.00242364",11201,Columbia Street Waterfront District
"40.71335226222875,-73.9491033554077",11211,Williamsburg
"40.7381765,-73.97738662",10016,Kips Bay
"40.73532427,-73.99800419",10011,Greenwich Village
"40.771393700000004,-73.9077436",11105,Ditmars Steinway
"40.774591,-73.918544",11105,Ditmars Steinway
"40.72903917,-73.99404649",10003,Greenwich Village
"40.69539817,-73.94954908",11206,Bedford-Stuyvesant
"40.70122128,-74.01234218",10004,Financial District
"40.8143256,-73.9590255",10027,Morningside Heights
"40.74286877312112,-73.98918628692627",10010,Flatiron District
"40.74345335,-74.00004031",10011,Chelsea
"40.7596276,-73.93214549999999",11106,Astoria
"40.71269042,-73.98776323",10002,Two Bridges
"40.672168299999996,-73.9609",11238,Crown Heights
"40.78472675,-73.96961715",10024,Central Park West Historic District
"40.804038,-73.945925",10035,Marcus Garvey
"40.7801839724239,-73.97728532552719",10023,Upper West Side
"40.69221589,-73.9842844",11201,Downtown Brooklyn
"40.7923272,-73.9383",10029,East Harlem
"40.680342423,-73.9557689392",11238,Bedford-Stuyvesant
"40.7449067,-73.9534573",11101,Hunters Point
"40.805726,-73.936322",10035,East Harlem
"40.73804614248277,-73.99642959237099",10011,Chelsea
"40.72299208,-73.97995466",10009,Alphabet City
"40.686444200000004,-73.98759104",11217,Boerum Hill
"40.71739973,-73.98016555",10002,Lower East Side
"40.759107,-73.959223",10022,Lenox Hill
"40.76408932350689,-73.9106512069702",11103,Astoria
"40.796879,-73.93726099999999",10035,East Harlem
"40.7689738,-73.95482273",10021,Lenox Hill
"40.77118287540658,-73.96409422159195",10021,Lenox Hill
"40.71622644,-73.98261206",10002,Lower East Side
"40.76915505,-73.98191841",10023,Lincoln Square
"40.70717936,-74.00887308",10005,Financial District
"40.801694,-73.957145",10026,South Harlem
"40.68650065,-73.96563307",11238,Clinton Hill
"40.69991755,-73.98971773",11201,Downtown Brooklyn
"40.756014,-73.967416",10022,Midtown East
"40.745712100000006,-73.98194829",10016,Midtown South
"40.6829151,-73.99318208",11231,Carroll Gardens
"40.78275,-73.97137",10024,Central Park West Historic District
"40.69308257,-73.97178913",11205,Fort Greene
"40.77573034,-73.9567526",10028,Upper East Side
"40.70831794366396,-74.0050408244133",10038,Financial District
"40.69610226,-73.96751037",11205,Clinton Hill
"40.78307,-73.95939",10128,Upper East Side
"40.71044554,-73.96525063",11249,Southside
"40.74334935,-74.00681753",10011,Chelsea
"40.79329668,-73.9432083",10029,East Harlem
"40.72179134,-73.95041540000001",11222,Williamsburg
"40.790305100000005,-73.94755757",10029,East Harlem
"40.743,-73.93561",11101,Long Island City
"40.776165,-73.9153175",11105,Ditmars Steinway
"40.69474881,-73.98362464",11201,Downtown Brooklyn
"40.68763155,-74.0016256",11201,Columbia Street Waterfront District
"40.76344058,-73.98268129",10019,Midtown West
"40.6729679,-73.97087984",11238,Park Slope
"40.68764484,-73.96968902",11238,Fort Greene
"40.713126,-73.984844",10002,Lower East Side
"40.791976,-73.945993",10029,East Harlem
"40.66514681533792,-73.97637605667114",11215,Park Slope
"40.7724607,-73.9468208",10028,Yorkville
"40.68940747,-73.96885458",11205,Clinton Hill
"40.69327018,-73.97703874",11201,Fort Greene
"40.724812564400175,-73.94752621650694",11222,Greenpoint
"40.7989445,-73.944846",10029,East Harlem
"40.78145,-73.9183302",11105,Ditmars Steinway
"40.6751622,-73.9814832",11215,Park Slope
"40.744219,-73.97121214",10016,Midtown Manhattan
"40.7941654,-73.974124",10025,Upper West Side
"40.69236178,-73.98631746",11201,Downtown Brooklyn
"40.75510267,-73.97498696",10167,Midtown East
"40.7787185,-73.9145645",11105,Ditmars Steinway
"40.7785669,-73.97754961",10023,Upper West Side
"40.72606,-73.95621",11222,Greenpoint
"40.80295,-73.942954",10035,Marcus Garvey
"40.770845,-73.93417099999999",11102,Astoria
"40.7727966,-73.95577801",10075,Upper East Side
"40.71291224,-74.01020234",10007,Tribeca
"40.762813799999996,-73.9342862",11106,Astoria
"40.69331716,-73.95381995",11205,Bedford-Stuyvesant
"40.76009437,-73.99461843",10036,Hell's Kitchen
"40.71247661,-73.94100005",11211,Williamsburg
"40.74854862,-73.98808416",10001,Koreatown
"40.72953837,-73.98426726",10003,Ukrainian Village
"40.6814598,-73.934903",11216,Stuyvesant Heights
